# host load witness  interval=10s  logical_cores=16  host=DESKTOP-CBL5NUA
# utc_iso  busy_cores  free_ram_gb  top5(name:pid=cores)
2026-09-09T03:19:54Z     7.1    16.8  python:18876=4.66 python:15600=0.96 pycharm64:9008=0.93 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:20:04Z    6.95    14.3  python:18876=4.73 python:15600=0.97 pycharm64:9008=0.69 agy:22084=0.17 HWiNFO64:11920=0.11
2026-09-09T03:20:14Z    6.45    17.2  python:18876=4.7 python:15600=0.97 agy:22084=0.23 pycharm64:9008=0.22 HWiNFO64:11920=0.11
2026-09-09T03:20:24Z    6.97    12.2  python:18876=4.86 python:15600=0.96 pycharm64:9008=0.56 agy:22084=0.23 HWiNFO64:11920=0.12
2026-09-09T03:20:34Z    6.67    15.8  python:18876=4.51 python:15600=0.97 pycharm64:9008=0.56 agy:22084=0.24 claude:6648=0.14
2026-09-09T03:20:44Z    6.39    16.6  python:18876=4.6 python:15600=0.97 pycharm64:9008=0.28 agy:22084=0.18 claude:6648=0.11
2026-09-09T03:20:54Z    6.93      14  python:18876=4.86 python:15600=0.96 pycharm64:9008=0.52 agy:22084=0.15 claude:6648=0.13
2026-09-09T03:21:04Z    7.62    17.6  python:18876=5.05 python:15600=0.95 pycharm64:9008=0.85 agy:22084=0.28 HWiNFO64:11920=0.12
2026-09-09T03:21:15Z    6.23    17.7  python:18876=4.65 agy:22084=0.84 pycharm64:9008=0.33 HWiNFO64:11920=0.13 claude:6648=0.09
2026-09-09T03:21:25Z    6.52    17.2  python:18876=3.47 pycharm64:9008=1.42 agy:22084=1.1 claude:6648=0.18 HWiNFO64:11920=0.12
2026-09-09T03:21:35Z    5.23      17  python:18876=2.96 pycharm64:9008=0.87 agy:22084=0.87 HWiNFO64:11920=0.15 claude:6648=0.12
2026-09-09T03:21:45Z     6.9    17.6  python:18876=5.12 agy:22084=1.08 pycharm64:9008=0.31 HWiNFO64:11920=0.15 python:23460=0.06
2026-09-09T03:21:55Z    8.51    17.7  python:18876=5.13 pycharm64:9008=2.47 agy:22084=0.32 python:20268=0.25 HWiNFO64:11920=0.12
2026-09-09T03:22:05Z    8.29    16.9  python:18876=6.02 python:20268=0.97 pycharm64:9008=0.75 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:22:15Z    8.51      17  python:18876=5.8 pycharm64:9008=1.1 python:20268=0.99 agy:22084=0.25 HWiNFO64:11920=0.13
2026-09-09T03:22:25Z    8.49    16.9  python:18876=5.86 python:20268=1.06 pycharm64:9008=0.8 agy:22084=0.22 claude:6648=0.21
2026-09-09T03:22:36Z   14.17      17  python:20268=6.79 python:18876=5.66 pycharm64:9008=1.01 agy:22084=0.18 claude:6648=0.16
2026-09-09T03:22:46Z    9.57    17.2  python:18876=6.03 pycharm64:9008=1.46 python:2336=0.92 agy:22084=0.77 HWiNFO64:11920=0.14
2026-09-09T03:22:56Z    9.03    17.3  python:18876=5.89 python:2336=0.97 pycharm64:9008=0.87 agy:22084=0.86 HWiNFO64:11920=0.18
2026-09-09T03:23:06Z    8.05    17.3  python:18876=5.77 python:2336=0.99 pycharm64:9008=0.69 agy:22084=0.23 claude:6648=0.11
2026-09-09T03:23:16Z   14.24    17.4  python:2336=6.43 python:18876=6.01 pycharm64:9008=1.13 agy:22084=0.23 HWiNFO64:11920=0.16
2026-09-09T03:23:26Z    8.49    17.5  python:18876=5.8 agy:22084=1.67 pycharm64:9008=0.62 HWiNFO64:11920=0.14 claude:6648=0.08
2026-09-09T03:23:36Z    9.81    17.9  python:18876=6.89 pycharm64:9008=1.62 agy:22084=1 HWiNFO64:11920=0.13 claude:6648=0.05
2026-09-09T03:23:47Z    6.57    18.2  python:18876=4.34 agy:22084=1.12 pycharm64:9008=0.79 HWiNFO64:11920=0.12 claude:6648=0.04
2026-09-09T03:23:57Z     8.7    18.1  python:18876=6.79 agy:22084=1.1 pycharm64:9008=0.45 claude:6648=0.12 HWiNFO64:11920=0.12
2026-09-09T03:24:07Z    8.12    18.1  python:18876=5.1 agy:22084=1.4 pycharm64:9008=1.17 claude:6648=0.14 HWiNFO64:11920=0.12
2026-09-09T03:24:17Z    9.14      17  python:18876=6.97 agy:22084=1.35 pycharm64:9008=0.37 HWiNFO64:11920=0.13 claude:6648=0.11
2026-09-09T03:24:27Z    8.25    17.4  python:18876=5.98 agy:22084=1.11 pycharm64:9008=0.69 HWiNFO64:11920=0.12 python:5616=0.07
2026-09-09T03:24:37Z    7.39    17.5  python:18876=5.67 agy:22084=0.99 pycharm64:9008=0.26 HWiNFO64:11920=0.14 claude:6648=0.09
2026-09-09T03:24:47Z    7.46    17.4  python:18876=5.72 agy:22084=1.11 pycharm64:9008=0.26 claude:6648=0.11 HWiNFO64:11920=0.1
2026-09-09T03:24:57Z    8.06      17  python:18876=5.92 agy:22084=1.3 pycharm64:9008=0.51 HWiNFO64:11920=0.12 claude:6648=0.06
2026-09-09T03:25:07Z    9.33    17.7  python:18876=7.24 agy:22084=1.14 pycharm64:9008=0.59 claude:6648=0.11 HWiNFO64:11920=0.1
2026-09-09T03:25:18Z    7.88    17.7  python:18876=5.7 agy:22084=1.74 pycharm64:9008=0.14 HWiNFO64:11920=0.09 claude:6648=0.06
2026-09-09T03:25:28Z    8.49    17.7  python:18876=5.41 agy:22084=1.84 pycharm64:9008=0.88 HWiNFO64:11920=0.12 claude:6648=0.11
2026-09-09T03:25:38Z    8.77    17.5  python:18876=6.19 agy:22084=1.76 pycharm64:9008=0.49 HWiNFO64:11920=0.13 claude:6648=0.08
2026-09-09T03:25:48Z       9    17.5  python:18876=6.82 pycharm64:9008=0.92 python:16260=0.44 agy:22084=0.42 claude:6648=0.13
2026-09-09T03:25:58Z   11.08      16  python:18876=4.92 python:16260=3.24 agy:22084=1.64 pycharm64:9008=0.84 HWiNFO64:11920=0.15
2026-09-09T03:26:08Z    9.27    16.8  python:18876=6.83 agy:22084=1.5 pycharm64:9008=0.57 HWiNFO64:11920=0.14 claude:6648=0.07
2026-09-09T03:26:18Z    9.56    15.3  python:18876=6.42 pycharm64:9008=1.41 agy:22084=1.19 HWiNFO64:11920=0.14 syncthing:8892=0.08
2026-09-09T03:26:28Z   11.22    13.9  python:18876=5.96 python:17220=3.34 agy:22084=0.91 pycharm64:9008=0.65 HWiNFO64:11920=0.12
2026-09-09T03:26:38Z    9.83    13.9  python:18876=6.24 python:14368=2.47 agy:22084=0.66 pycharm64:9008=0.23 HWiNFO64:11920=0.09
2026-09-09T03:26:49Z    8.01    15.3  python:18876=6.11 agy:22084=1.08 pycharm64:9008=0.54 HWiNFO64:11920=0.14 Taskmgr:17380=0.06
2026-09-09T03:26:59Z    8.06    14.3  python:18876=6.15 pycharm64:9008=0.61 python:19140=0.57 agy:22084=0.35 HWiNFO64:11920=0.12
2026-09-09T03:27:09Z   10.36    12.2  python:18876=6.14 python:19140=2.56 agy:22084=0.95 pycharm64:9008=0.45 HWiNFO64:11920=0.12
2026-09-09T03:27:19Z    9.96    12.4  python:18876=6.36 python:19140=2.58 pycharm64:9008=0.43 agy:22084=0.35 HWiNFO64:11920=0.11
2026-09-09T03:27:29Z   10.02    12.5  python:18876=6.26 python:19140=2.57 pycharm64:9008=0.56 agy:22084=0.35 HWiNFO64:11920=0.11
2026-09-09T03:27:39Z    9.79    12.6  python:18876=6.19 python:19140=2.64 pycharm64:9008=0.34 agy:22084=0.31 HWiNFO64:11920=0.11
2026-09-09T03:27:49Z    9.07    10.6  python:18876=6.31 python:19140=1.83 agy:22084=0.33 pycharm64:9008=0.33 HWiNFO64:11920=0.11
2026-09-09T03:27:59Z    8.29    10.3  python:18876=6.33 python:19140=0.99 pycharm64:9008=0.5 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:28:09Z    8.49    13.2  python:18876=6.31 python:19140=0.96 pycharm64:9008=0.68 agy:22084=0.26 HWiNFO64:11920=0.1
2026-09-09T03:28:20Z    8.28    10.8  python:18876=6.01 python:19140=0.97 pycharm64:9008=0.7 agy:22084=0.25 HWiNFO64:11920=0.13
2026-09-09T03:28:30Z    8.25    11.1  python:18876=6.21 python:19140=0.98 pycharm64:9008=0.48 agy:22084=0.25 HWiNFO64:11920=0.13
2026-09-09T03:28:40Z    8.79    13.2  python:18876=6.73 python:19140=0.98 pycharm64:9008=0.43 agy:22084=0.32 HWiNFO64:11920=0.14
2026-09-09T03:28:50Z     8.7      14  python:18876=6.97 python:19140=0.98 agy:22084=0.22 pycharm64:9008=0.17 HWiNFO64:11920=0.13
2026-09-09T03:29:00Z    8.37      13  python:18876=6.3 python:19140=0.97 pycharm64:9008=0.56 agy:22084=0.28 HWiNFO64:11920=0.12
2026-09-09T03:29:10Z    9.51    13.8  python:18876=6.21 agy:22084=1.47 python:19140=0.96 pycharm64:9008=0.51 HWiNFO64:11920=0.13
2026-09-09T03:29:20Z    8.31    13.8  python:18876=6.34 python:19140=0.89 pycharm64:9008=0.29 agy:22084=0.23 HWiNFO64:11920=0.14
2026-09-09T03:29:30Z    8.55    11.6  python:18876=6.32 python:19140=0.97 pycharm64:9008=0.37 agy:22084=0.3 HWiNFO64:11920=0.14
2026-09-09T03:29:40Z    8.44    14.3  python:18876=6.29 python:19140=0.98 pycharm64:9008=0.33 agy:22084=0.28 HWiNFO64:11920=0.16
2026-09-09T03:29:51Z    8.43    14.5  python:18876=6.28 python:19140=0.96 pycharm64:9008=0.41 agy:22084=0.3 HWiNFO64:11920=0.15
2026-09-09T03:30:01Z    8.06    13.7  python:18876=6.43 python:19140=0.97 agy:22084=0.26 pycharm64:9008=0.12 HWiNFO64:11920=0.12
2026-09-09T03:30:11Z    8.49    11.8  python:18876=6.61 python:19140=0.97 pycharm64:9008=0.27 agy:22084=0.23 HWiNFO64:11920=0.15
2026-09-09T03:30:21Z     9.6    15.4  python:18876=7.51 python:19140=0.98 pycharm64:9008=0.41 agy:22084=0.26 HWiNFO64:11920=0.13
2026-09-09T03:30:31Z    8.24    15.3  python:18876=6.39 python:19140=0.98 pycharm64:9008=0.26 agy:22084=0.26 HWiNFO64:11920=0.12
2026-09-09T03:30:41Z    8.27    15.3  python:18876=6.37 python:19140=0.97 agy:22084=0.25 pycharm64:9008=0.22 HWiNFO64:11920=0.15
2026-09-09T03:30:51Z    8.04    14.8  python:18876=6.23 python:19140=0.97 agy:22084=0.26 pycharm64:9008=0.24 HWiNFO64:11920=0.11
2026-09-09T03:31:01Z    8.26    15.2  python:18876=6.31 python:19140=0.84 pycharm64:9008=0.51 agy:22084=0.28 HWiNFO64:11920=0.11
2026-09-09T03:31:12Z   10.14    14.9  python:18876=6.33 agy:22084=1.26 pycharm64:9008=1.13 python:19140=0.93 claude:6648=0.13
2026-09-09T03:31:22Z    9.38    13.4  python:18876=6.38 python:19140=0.94 pycharm64:9008=0.8 agy:22084=0.8 claude:6648=0.19
2026-09-09T03:31:32Z     9.8    13.7  python:18876=7.58 python:19140=0.97 pycharm64:9008=0.59 agy:22084=0.27 HWiNFO64:11920=0.15
2026-09-09T03:31:42Z    8.52    12.4  python:18876=6.56 python:19140=0.97 pycharm64:9008=0.32 agy:22084=0.25 claude:6648=0.16
2026-09-09T03:31:52Z    8.59    15.4  python:18876=6.28 python:19140=0.97 pycharm64:9008=0.7 agy:22084=0.2 claude:6648=0.15
2026-09-09T03:32:02Z    8.72    14.9  python:18876=6.14 pycharm64:9008=1.07 python:19140=0.97 agy:22084=0.24 HWiNFO64:11920=0.09
2026-09-09T03:32:12Z    8.34    16.1  python:18876=6.29 python:19140=0.96 pycharm64:9008=0.4 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:32:23Z    8.54    15.9  python:18876=6.43 python:19140=0.97 pycharm64:9008=0.43 agy:22084=0.23 claude:6648=0.16
2026-09-09T03:32:33Z    9.28    14.4  python:18876=6.81 python:19140=0.96 pycharm64:9008=0.66 agy:22084=0.34 HWiNFO64:11920=0.17
2026-09-09T03:32:43Z    9.46    12.8  python:18876=7.52 python:19140=0.98 pycharm64:9008=0.5 agy:22084=0.2 HWiNFO64:11920=0.1
2026-09-09T03:32:53Z    8.44    15.1  python:18876=6.12 python:19140=0.97 pycharm64:9008=0.63 agy:22084=0.28 HWiNFO64:11920=0.15
2026-09-09T03:33:03Z    8.32    13.7  python:18876=6.26 python:19140=0.96 pycharm64:9008=0.42 agy:22084=0.21 HWiNFO64:11920=0.14
2026-09-09T03:33:13Z    8.88    13.5  python:18876=6.24 python:19140=0.96 pycharm64:9008=0.7 agy:22084=0.41 claude:6648=0.14
2026-09-09T03:33:23Z   10.34    13.7  python:18876=6.11 agy:22084=1.66 pycharm64:9008=1.1 python:19140=0.93 HWiNFO64:11920=0.16
2026-09-09T03:33:33Z    8.81    14.2  python:18876=6.32 python:19140=0.97 pycharm64:9008=0.7 agy:22084=0.28 HWiNFO64:11920=0.17
2026-09-09T03:33:44Z    8.77    14.8  python:18876=6.17 pycharm64:9008=0.99 python:19140=0.97 agy:22084=0.23 HWiNFO64:11920=0.15
2026-09-09T03:33:54Z    8.17    15.1  python:18876=6.38 python:19140=0.98 agy:22084=0.27 pycharm64:9008=0.2 HWiNFO64:11920=0.15
2026-09-09T03:34:04Z    8.63    11.4  python:18876=6.19 python:19140=0.96 pycharm64:9008=0.77 agy:22084=0.31 HWiNFO64:11920=0.13
2026-09-09T03:34:14Z    9.67    10.8  python:18876=7.57 python:19140=0.98 pycharm64:9008=0.56 agy:22084=0.18 HWiNFO64:11920=0.14
2026-09-09T03:34:24Z    8.69    10.1  python:18876=6.5 python:19140=0.95 pycharm64:9008=0.61 agy:22084=0.19 HWiNFO64:11920=0.1
2026-09-09T03:34:34Z    8.37     9.6  python:18876=6.55 python:19140=0.98 agy:22084=0.27 HWiNFO64:11920=0.15 pycharm64:9008=0.13
2026-09-09T03:34:44Z    8.21    10.4  python:18876=5.96 python:19140=0.98 pycharm64:9008=0.45 agy:22084=0.25 HWiNFO64:11920=0.16
2026-09-09T03:34:55Z    7.81    11.9  python:18876=5.96 python:19140=0.97 agy:22084=0.23 pycharm64:9008=0.19 claude:1320=0.11
2026-09-09T03:35:05Z       8    12.3  python:18876=5.93 python:19140=0.96 pycharm64:9008=0.57 agy:22084=0.21 HWiNFO64:11920=0.13
2026-09-09T03:35:15Z    7.71    13.6  python:18876=5.9 python:19140=0.97 agy:22084=0.23 pycharm64:9008=0.18 HWiNFO64:11920=0.15
2026-09-09T03:35:25Z    7.95    14.4  python:18876=5.83 agy:22084=1.14 pycharm64:9008=0.64 HWiNFO64:11920=0.12 Taskmgr:17380=0.07
2026-09-09T03:35:35Z    8.21    14.3  python:18876=5.84 agy:22084=0.93 pycharm64:9008=0.92 HWiNFO64:11920=0.13 python:18244=0.09
2026-09-09T03:35:45Z    8.97    13.8  python:18876=5.93 agy:22084=1.17 python:8424=0.91 pycharm64:9008=0.63 HWiNFO64:11920=0.14
2026-09-09T03:35:55Z     8.6    13.7  python:18876=5.92 python:8424=0.99 agy:22084=0.7 pycharm64:9008=0.56 claude:6648=0.14
2026-09-09T03:36:05Z     8.4    14.4  python:18876=5.84 pycharm64:9008=1.19 agy:22084=0.92 HWiNFO64:11920=0.13 claude:6648=0.11
2026-09-09T03:36:15Z    7.68    14.4  python:18876=5.82 agy:22084=0.85 pycharm64:9008=0.57 claude:6648=0.15 HWiNFO64:11920=0.14
2026-09-09T03:36:25Z    9.03      14  python:18876=5.86 python:22168=1.54 pycharm64:9008=0.69 agy:22084=0.5 HWiNFO64:11920=0.13
2026-09-09T03:36:36Z    8.93      14  python:18876=5.47 agy:22084=1.5 pycharm64:9008=1.36 python:1440=0.21 HWiNFO64:11920=0.14
2026-09-09T03:36:46Z    6.75    14.2  python:18876=5.84 pycharm64:9008=0.25 agy:22084=0.19 claude:6648=0.15 HWiNFO64:11920=0.14
2026-09-09T03:36:56Z    8.33    14.3  python:18876=5.86 pycharm64:9008=1.19 agy:22084=0.83 HWiNFO64:11920=0.13 Taskmgr:17380=0.07
2026-09-09T03:37:06Z   10.67      14  python:18876=5.82 python:22844=2.9 pycharm64:9008=1.13 agy:22084=0.39 HWiNFO64:11920=0.14
2026-09-09T03:37:16Z   14.32    14.1  python:22844=6.52 python:18876=5.78 agy:22084=0.96 pycharm64:9008=0.7 HWiNFO64:11920=0.12
2026-09-09T03:37:26Z   13.69    14.1  python:22844=6.65 python:18876=5.89 pycharm64:9008=0.53 agy:22084=0.18 HWiNFO64:11920=0.1
2026-09-09T03:37:36Z   13.79    14.1  python:22844=6.85 python:18876=5.86 pycharm64:9008=0.5 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:37:46Z    13.7    14.1  python:22844=7.06 python:18876=5.99 agy:22084=0.21 HWiNFO64:11920=0.13 pycharm64:9008=0.1
2026-09-09T03:37:57Z   13.64    14.1  python:22844=6.76 python:18876=5.81 pycharm64:9008=0.52 agy:22084=0.21 HWiNFO64:11920=0.12
2026-09-09T03:38:07Z    13.8    14.1  python:22844=6.93 python:18876=5.79 pycharm64:9008=0.53 HWiNFO64:11920=0.17 agy:22084=0.16
2026-09-09T03:38:17Z   13.73    14.1  python:22844=7.1 python:18876=5.8 agy:22084=0.25 pycharm64:9008=0.21 HWiNFO64:11920=0.1
2026-09-09T03:38:27Z   13.68    14.1  python:22844=6.98 python:18876=5.83 pycharm64:9008=0.35 agy:22084=0.22 HWiNFO64:11920=0.15
2026-09-09T03:38:37Z   13.74    14.1  python:22844=6.92 python:18876=5.92 pycharm64:9008=0.46 agy:22084=0.2 HWiNFO64:11920=0.1
2026-09-09T03:38:47Z   13.65    14.1  python:22844=7.19 python:18876=5.9 agy:22084=0.18 HWiNFO64:11920=0.13 pycharm64:9008=0.1
2026-09-09T03:38:57Z   13.73      14  python:22844=7.02 python:18876=5.81 pycharm64:9008=0.48 agy:22084=0.19 HWiNFO64:11920=0.1
2026-09-09T03:39:07Z   13.68    14.1  python:22844=6.93 python:18876=5.92 pycharm64:9008=0.44 agy:22084=0.19 HWiNFO64:11920=0.09
2026-09-09T03:39:17Z   13.51      14  python:22844=7.15 python:18876=5.82 agy:22084=0.21 HWiNFO64:11920=0.13 Taskmgr:17380=0.07
2026-09-09T03:39:28Z   13.82    14.1  python:22844=6.96 python:18876=5.88 pycharm64:9008=0.46 agy:22084=0.17 HWiNFO64:11920=0.14
2026-09-09T03:39:38Z   13.79      14  python:22844=7 python:18876=5.8 pycharm64:9008=0.49 agy:22084=0.2 HWiNFO64:11920=0.13
2026-09-09T03:39:48Z   13.47      14  python:22844=7.04 python:18876=5.89 agy:22084=0.19 HWiNFO64:11920=0.11 Taskmgr:17380=0.08
2026-09-09T03:39:58Z    13.9      14  python:22844=7.03 python:18876=5.85 pycharm64:9008=0.47 agy:22084=0.2 HWiNFO64:11920=0.17
2026-09-09T03:40:08Z   14.21     9.4  python:18876=6.63 python:22844=6.59 pycharm64:9008=0.52 agy:22084=0.21 HWiNFO64:11920=0.12
